sesso,prov,comune,istituto,tipo,annomat,votomat,score,idtest
M,81,21,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,60,15.75,28
M,51,33,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2012,66,6,28
M,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,97,14.75,28
F,47,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,14.75,28
M,88,6,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,91,13.25,28
F,48,49,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,100,17.25,28
M,76,85,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,87,11.5,28
F,48,42,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,83,10.75,28
F,47,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,74,16.5,28
M,47,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,9.25,28
F,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,13.25,28
F,100,5,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,86,12.75,28
M,47,6,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,14.75,28
M,48,37,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,17.25,28
F,48,41,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,96,11.75,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,9.25,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2009,62,10.5,28
M,48,35,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,75,15.75,28
M,48,38,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,76,10,28
F,59,11,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,94,12.25,28
M,48,33,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,67,8.5,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,85,15.75,28
F,37,60,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2010,66,11.5,28
M,100,3,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,62,14.5,28
M,47,2,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,77,15.75,28
M,48,30,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,84,11.25,28
M,51,29,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,64,14.25,28
M,47,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,16.5,28
M,48,14,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,64,11.25,28
F,55,32,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,90,14,28
F,48,17,Istituto Tecnico Commerciale,Istituto Tecnico Commerciale,2013,70,9.75,28
